Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Aktien","1.858.455.873,61","8,12","1.858.455.873,61","61.054.000,00","30,44","Taiwan","Taiwan Stock Exchange","TWD"
"700","TENCENT HOLDINGS LTD","Kommunikation","Aktien","809.496.577,60","3,54","809.496.577,60","16.227.740,00","49,88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005930","SAMSUNG ELECTRONICS LTD","IT","Aktien","560.909.304,85","2,45","560.909.304,85","11.834.296,00","47,40","Korea","Korea Exchange (Stock Market)","KRW"
"9988","ALIBABA GROUP HOLDING LTD","Zyklische Konsumgüter ","Aktien","421.778.479,95","1,84","421.778.479,95","37.680.248,00","11,19","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energie","Aktien","264.319.731,12","1,16","264.319.731,12","7.432.869,00","35,56","Indien","National Stock Exchange Of India","INR"
"HDFCBANK","HDFC BANK LTD","Financials","Aktien","219.969.354,33","0,96","219.969.354,33","10.557.651,00","20,84","Indien","National Stock Exchange Of India","INR"
"3690","MEITUAN","Zyklische Konsumgüter ","Aktien","215.405.098,05","0,94","215.405.098,05","12.347.594,00","17,45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ICICIBANK","ICICI BANK LTD","Financials","Aktien","206.683.324,51","0,90","206.683.324,51","12.904.972,00","16,02","Indien","National Stock Exchange Of India","INR"
"INFY","INFOSYS LTD","IT","Aktien","187.701.779,83","0,82","187.701.779,83","8.231.069,00","22,80","Indien","National Stock Exchange Of India","INR"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","179.485.337,33","0,78","179.485.337,33","179.485.337,00","100,00","Vereinigte Staaten","-","USD"
"2317","HON HAI PRECISION INDUSTRY LTD","IT","Aktien","171.953.431,82","0,75","171.953.431,82","31.053.624,00","5,54","Taiwan","Taiwan Stock Exchange","TWD"
"PDD","PDD HOLDINGS ADS INC","Zyklische Konsumgüter ","Aktien","171.899.628,30","0,75","171.899.628,30","1.720.717,00","99,90","China","NASDAQ","USD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Aktien","170.458.196,57","0,74","170.458.196,57","237.974.000,00","0,72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"000660","SK HYNIX INC","IT","Aktien","159.914.137,07","0,70","159.914.137,07","1.353.010,00","118,19","Korea","Korea Exchange (Stock Market)","KRW"
"2454","MEDIATEK INC","IT","Aktien","132.824.964,81","0,58","132.824.964,81","3.774.000,00","35,19","Taiwan","Taiwan Stock Exchange","TWD"
"BHARTIARTL","BHARTI AIRTEL LTD","Kommunikation","Aktien","130.016.734,83","0,57","130.016.734,83","6.347.646,00","20,48","Indien","National Stock Exchange Of India","INR"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Aktien","118.179.874,53","0,52","118.179.874,53","3.180.726,00","37,16","Deutschland","Xetra","USD"
"TCS","TATA CONSULTANCY SERVICES LTD","IT","Aktien","114.926.410,21","0,50","114.926.410,21","2.241.470,00","51,27","Indien","National Stock Exchange Of India","INR"
"1120","AL RAJHI BANK","Financials","Aktien","104.746.574,90","0,46","104.746.574,90","4.372.150,00","23,96","Saudi-Arabien","Saudi Stock Exchange","SAR"
