Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","22.561.657,00","3,23","22.561.657,00","96.335,00","234,20","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","20.851.188,67","2,99","20.851.188,67","38.849,00","536,72","Schweiz","SIX Swiss Exchange","CHF"
"REL","RELX PLC","Industrie","Aktien","20.178.426,98","2,89","20.178.426,98","467.699,00","43,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"ABBN","ABB LTD","Industrie","Aktien","19.814.558,48","2,84","19.814.558,48","390.847,00","50,70","Schweiz","SIX Swiss Exchange","CHF"
"CS","AXA SA","Financials","Aktien","19.189.372,50","2,75","19.189.372,50","529.362,00","36,25","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Aktien","19.182.637,50","2,75","19.182.637,50","39.349,00","487,50","Deutschland","Xetra","EUR"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","17.929.387,81","2,57","17.929.387,81","31.984,00","560,57","Schweiz","SIX Swiss Exchange","CHF"
"SREN","SWISS RE AG","Financials","Aktien","17.729.968,17","2,54","17.729.968,17","144.462,00","122,73","Schweiz","SIX Swiss Exchange","CHF"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","17.636.384,92","2,52","17.636.384,92","273.602,00","64,46","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","17.241.294,96","2,47","17.241.294,96","579.928,00","29,73","Vereinigtes Königreich","London Stock Exchange","GBP"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","16.968.702,14","2,43","16.968.702,14","655.922,00","25,87","Italien","Borsa Italiana","EUR"
"SSE","SSE PLC","Versorger","Aktien","16.844.398,02","2,41","16.844.398,02","731.726,00","23,02","Vereinigtes Königreich","London Stock Exchange","GBP"
"DSFIR","DSM FIRMENICH AG","Materialien","Aktien","16.562.916,40","2,37","16.562.916,40","142.232,00","116,45","Niederlande","Euronext Amsterdam","EUR"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","16.060.875,83","2,30","16.060.875,83","1.300.760,00","12,35","Vereinigtes Königreich","London Stock Exchange","GBP"
"VOD","VODAFONE GROUP PLC","Kommunikation","Aktien","15.566.979,60","2,23","15.566.979,60","17.286.223,00","0,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"KBC","KBC GROEP","Financials","Aktien","15.527.721,24","2,22","15.527.721,24","218.947,00","70,92","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","15.522.695,34","2,22","15.522.695,34","674.746,00","23,01","Schweden","Nasdaq Omx Nordic","SEK"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","15.082.901,12","2,16","15.082.901,12","412.552,00","36,56","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AV.","AVIVA PLC","Financials","Aktien","14.820.659,01","2,12","14.820.659,01","2.529.036,00","5,86","Vereinigtes Königreich","London Stock Exchange","GBP"
"SOON","SONOVA HOLDING AG","Gesundheitsversorgung","Aktien","14.681.836,25","2,10","14.681.836,25","47.613,00","308,36","Schweiz","SIX Swiss Exchange","CHF"
"MRK","MERCK","Gesundheitsversorgung","Aktien","14.566.127,70","2,09","14.566.127,70","92.454,00","157,55","Deutschland","Xetra","EUR"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","14.301.056,85","2,05","14.301.056,85","118.489,00","120,70","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"KPN","KONINKLIJKE KPN NV","Kommunikation","Aktien","13.463.805,75","1,93","13.463.805,75","3.713.129,00","3,63","Niederlande","Euronext Amsterdam","EUR"
"SGRO","SEGRO REIT PLC","Immobilien","Aktien","12.352.831,83","1,77","12.352.831,83","1.189.697,00","10,38","Vereinigtes Königreich","London Stock Exchange","GBP"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","12.200.937,38","1,75","12.200.937,38","107.059,00","113,96","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"UPM","UPM-KYMMENE","Materialien","Aktien","11.825.429,76","1,69","11.825.429,76","405.536,00","29,16","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"NN","NN GROUP NV","Financials","Aktien","11.365.191,18","1,63","11.365.191,18","252.897,00","44,94","Niederlande","Euronext Amsterdam","EUR"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrie","Aktien","11.106.871,05","1,59","11.106.871,05","45.405,00","244,62","Schweiz","SIX Swiss Exchange","CHF"
"KER","KERING SA","Zyklische Konsumgüter ","Aktien","10.503.858,00","1,50","10.503.858,00","46.632,00","225,25","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SGSN","SGS SA","Industrie","Aktien","9.936.981,98","1,42","9.936.981,98","98.538,00","100,84","Schweiz","SIX Swiss Exchange","CHF"
"KRZ","KERRY GROUP PLC","Nichtzyklische Konsumgüter","Aktien","9.267.166,80","1,33","9.267.166,80","104.184,00","88,95","Irland","Irish Stock Exchange - All Market","EUR"
"WPP","WPP PLC","Kommunikation","Aktien","9.252.881,66","1,32","9.252.881,66","1.009.312,00","9,17","Vereinigtes Königreich","London Stock Exchange","GBP"
"MONC","MONCLER","Zyklische Konsumgüter ","Aktien","9.139.344,00","1,31","9.139.344,00","190.403,00","48,00","Italien","Borsa Italiana","EUR"
"PNDORA","PANDORA","Zyklische Konsumgüter ","Aktien","8.529.137,97","1,22","8.529.137,97","55.534,00","153,58","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SRG","SNAM","Versorger","Aktien","8.514.877,97","1,22","8.514.877,97","1.890.095,00","4,50","Italien","Borsa Italiana","EUR"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aktien","8.358.732,36","1,20","8.358.732,36","107.912,00","77,46","Schweiz","SIX Swiss Exchange","CHF"
"SGE","SAGE GROUP PLC","IT","Aktien","8.087.339,84","1,16","8.087.339,84","671.185,00","12,05","Vereinigtes Königreich","London Stock Exchange","GBP"
"ASML","ASML HOLDING NV","IT","Aktien","7.531.800,30","1,08","7.531.800,30","10.509,00","716,70","Niederlande","Euronext Amsterdam","EUR"
"HEN","HENKEL AG","Nichtzyklische Konsumgüter","Aktien","7.112.813,40","1,02","7.112.813,40","97.236,00","73,15","Deutschland","Xetra","EUR"
"AGS","AGEAS SA","Financials","Aktien","7.078.946,40","1,01","7.078.946,40","150.680,00","46,98","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"BOL","BOLIDEN","Materialien","Aktien","6.901.435,50","0,99","6.901.435,50","257.208,00","26,83","Schweden","Nasdaq Omx Nordic","SEK"
"MNDI","MONDI PLC","Materialien","Aktien","6.887.290,60","0,99","6.887.290,60","413.065,00","16,67","Vereinigtes Königreich","London Stock Exchange","GBP"
"HEN3","HENKEL & KGAA PREF AG","Nichtzyklische Konsumgüter","Aktien","6.755.717,96","0,97","6.755.717,96","83.569,00","80,84","Deutschland","Xetra","EUR"
"KGF","KINGFISHER PLC","Zyklische Konsumgüter ","Aktien","6.739.522,14","0,96","6.739.522,14","1.751.795,00","3,85","Vereinigtes Königreich","London Stock Exchange","GBP"
"NESTE","NESTE","Energie","Aktien","6.651.767,76","0,95","6.651.767,76","397.833,00","16,72","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TW.","TAYLOR WIMPEY PLC","Zyklische Konsumgüter ","Aktien","6.533.630,47","0,94","6.533.630,47","3.311.411,00","1,97","Vereinigtes Königreich","London Stock Exchange","GBP"
"ASRNL","ASR NEDERLAND NV","Financials","Aktien","6.479.727,60","0,93","6.479.727,60","149.165,00","43,44","Niederlande","Euronext Amsterdam","EUR"
"ELISA","ELISA","Kommunikation","Aktien","6.361.835,04","0,91","6.361.835,04","133.877,00","47,52","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TRYG","TRYG","Financials","Aktien","6.206.124,09","0,89","6.206.124,09","294.641,00","21,06","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ELE","ENDESA SA","Versorger","Aktien","5.773.728,36","0,83","5.773.728,36","297.922,00","19,38","Spanien","Bolsa De Madrid","EUR"
"DCC","DCC PLC","Industrie","Aktien","5.677.553,79","0,81","5.677.553,79","92.500,00","61,38","Vereinigtes Königreich","London Stock Exchange","GBP"
"EN","BOUYGUES SA","Industrie","Aktien","5.674.828,83","0,81","5.674.828,83","177.283,00","32,01","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ORK","ORKLA","Nichtzyklische Konsumgüter","Aktien","5.492.812,43","0,79","5.492.812,43","660.261,00","8,32","Norwegen","Oslo Bors Asa","NOK"
"BDEV","BARRATT DEVELOPMENTS","Zyklische Konsumgüter ","Aktien","5.430.452,24","0,78","5.430.452,24","911.831,00","5,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"PST","POSTE ITALIANE","Financials","Aktien","5.299.153,44","0,76","5.299.153,44","427.696,00","12,39","Italien","Borsa Italiana","EUR"
"TEL2 B","TELE2 B","Kommunikation","Aktien","5.235.948,16","0,75","5.235.948,16","505.666,00","10,35","Schweden","Nasdaq Omx Nordic","SEK"
"SAP","SAP","IT","Aktien","4.813.521,00","0,69","4.813.521,00","23.538,00","204,50","Deutschland","Xetra","EUR"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","4.712.305,30","0,67","4.712.305,30","4.712.305,00","100,00","Europäische Union","-","EUR"
"KESKOB","KESKO CLASS B","Nichtzyklische Konsumgüter","Aktien","4.699.959,00","0,67","4.699.959,00","257.532,00","18,25","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"CABK","CAIXABANK SA","Financials","Aktien","4.699.516,03","0,67","4.699.516,03","852.288,00","5,51","Spanien","Bolsa De Madrid","EUR"
"VOLV A","VOLVO CLASS A","Industrie","Aktien","4.354.347,52","0,62","4.354.347,52","187.342,00","23,24","Schweden","Nasdaq Omx Nordic","SEK"
"CRDA","CRODA INTERNATIONAL PLC","Materialien","Aktien","4.252.995,35","0,61","4.252.995,35","91.242,00","46,61","Vereinigtes Königreich","London Stock Exchange","GBP"
"OMV","OMV AG","Energie","Aktien","3.611.651,70","0,52","3.611.651,70","97.665,00","36,98","Österreich","Wiener Boerse Ag","EUR"
"SDR","SCHRODERS PLC","Financials","Aktien","3.060.594,69","0,44","3.060.594,69","753.961,00","4,06","Vereinigtes Königreich","London Stock Exchange","GBP"
"GJF","GJENSIDIGE FORSIKRING","Financials","Aktien","3.060.071,98","0,44","3.060.071,98","187.080,00","16,36","Norwegen","Oslo Bors Asa","NOK"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","3.043.165,69","0,44","3.043.165,69","35.150,00","86,58","Schweiz","SIX Swiss Exchange","CHF"
"VER","VERBUND AG","Versorger","Aktien","1.549.232,70","0,22","1.549.232,70","21.354,00","72,55","Österreich","Wiener Boerse Ag","EUR"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Cash und/oder Derivate","Money Market","1.414.263,01","0,20","1.414.263,01","13.516,00","104,64","Irland","-","EUR"
