Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","27.658.617,70","2,75","27.658.617,70","70.945,00","389,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","26.459.308,80","2,63","26.459.308,80","161.180,00","164,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","26.405.595,01","2,62","26.405.595,01","83.415,00","316,56","Schweiz","SIX Swiss Exchange","CHF"
"AAPL","APPLE INC","IT","Aktien","25.885.638,80","2,57","25.885.638,80","113.434,00","228,20","Vereinigte Staaten","NASDAQ","USD"
"SAP","SAP","IT","Aktien","25.600.771,73","2,54","25.600.771,73","112.346,00","227,88","Deutschland","Xetra","EUR"
"MSFT","MICROSOFT CORP","IT","Aktien","25.496.375,52","2,53","25.496.375,52","58.576,00","435,27","Vereinigte Staaten","NASDAQ","USD"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","24.813.978,77","2,46","24.813.978,77","213.085,00","116,45","Schweiz","SIX Swiss Exchange","CHF"
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","24.083.774,82","2,39","24.083.774,82","71.631,00","336,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CSCO","CISCO SYSTEMS INC","IT","Aktien","23.959.105,46","2,38","23.959.105,46","461.018,00","51,97","Vereinigte Staaten","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","23.834.290,48","2,37","23.834.290,48","537.656,00","44,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","23.649.653,52","2,35","23.649.653,52","330.118,00","71,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","22.859.181,90","2,27","22.859.181,90","67.755,00","337,38","Vereinigte Staaten","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","22.040.972,80","2,19","22.040.972,80","108.416,00","203,30","Vereinigte Staaten","NASDAQ","USD"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","21.867.121,08","2,17","21.867.121,08","743.274,00","29,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","19.459.082,26","1,93","19.459.082,26","301.924,00","64,45","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","18.993.777,90","1,89","18.993.777,90","164.627,00","115,38","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NVDA","NVIDIA CORP","IT","Aktien","18.919.020,00","1,88","18.919.020,00","163.095,00","116,00","Vereinigte Staaten","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","18.822.648,48","1,87","18.822.648,48","97.953,00","192,16","Vereinigte Staaten","NASDAQ","USD"
"QCOM","QUALCOMM INC","IT","Aktien","18.717.011,68","1,86","18.717.011,68","110.804,00","168,92","Vereinigte Staaten","NASDAQ","USD"
"ALV","ALLIANZ","Financials","Aktien","18.464.773,80","1,83","18.464.773,80","56.788,00","325,15","Deutschland","Xetra","EUR"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrie","Aktien","16.384.202,75","1,63","16.384.202,75","59.275,00","276,41","Vereinigte Staaten","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","IT","Aktien","14.574.631,50","1,45","14.574.631,50","18.850,00","773,19","Vereinigte Staaten","NASDAQ","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aktien","13.537.207,60","1,34","13.537.207,60","105.266,00","128,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","12.688.086,78","1,26","12.688.086,78","21.215,00","598,07","Schweiz","SIX Swiss Exchange","CHF"
"ASML","ASML HOLDING NV","IT","Aktien","12.245.222,21","1,22","12.245.222,21","15.333,00","798,62","Niederlande","Euronext Amsterdam","EUR"
"MMM","3M","Industrie","Aktien","10.807.206,30","1,07","10.807.206,30","80.190,00","134,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","10.663.771,14","1,06","10.663.771,14","321.894,00","33,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"CS","AXA SA","Financials","Aktien","10.578.863,34","1,05","10.578.863,34","261.896,00","40,39","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CVS","CVS HEALTH CORP","Gesundheitsversorgung","Aktien","10.454.627,88","1,04","10.454.627,88","181.788,00","57,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO PLC","Materialien","Aktien","10.396.585,24","1,03","10.396.585,24","163.008,00","63,78","Vereinigtes Königreich","London Stock Exchange","GBP"
"BNS","BANK OF NOVA SCOTIA","Financials","Aktien","9.724.473,98","0,97","9.724.473,98","179.979,00","54,03","Kanada","Toronto Stock Exchange","CAD"
"8001","ITOCHU CORP","Industrie","Aktien","9.137.657,08","0,91","9.137.657,08","172.500,00","52,97","Japan","Tokyo Stock Exchange","JPY"
"ENEL","ENEL","Versorger","Aktien","9.113.788,49","0,90","9.113.788,49","1.170.091,00","7,79","Italien","Borsa Italiana","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Zyklische Konsumgüter ","Aktien","9.094.905,48","0,90","9.094.905,48","156.901,00","57,97","Spanien","Bolsa De Madrid","EUR"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Aktien","8.456.404,94","0,84","8.456.404,94","137.222,00","61,63","Kanada","Toronto Stock Exchange","CAD"
"REL","RELX PLC","Industrie","Aktien","8.240.029,12","0,82","8.240.029,12","171.398,00","48,08","Vereinigtes Königreich","London Stock Exchange","GBP"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","8.121.715,84","0,81","8.121.715,84","191.912,00","42,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OKE","ONEOK INC","Energie","Aktien","7.942.438,37","0,79","7.942.438,37","84.521,00","93,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","7.426.891,20","0,74","7.426.891,20","539.800,00","13,76","Vereinigtes Königreich","London Stock Exchange","GBP"
"9433","KDDI CORP","Kommunikation","Aktien","7.194.275,63","0,71","7.194.275,63","216.300,00","33,26","Japan","Tokyo Stock Exchange","JPY"
