Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"MSFT","MICROSOFT CORP","IT","Aktien","774.561.659,19","7,34","774.561.659,19","1.779.497,00","435,27","Vereinigte Staaten","NASDAQ","USD"
"NVDA","NVIDIA CORP","IT","Aktien","710.049.340,00","6,72","710.049.340,00","6.121.115,00","116,00","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","381.863.764,50","3,62","381.863.764,50","1.602.786,00","238,25","Vereinigte Staaten","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","238.080.293,88","2,25","238.080.293,88","5.370.636,00","44,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","237.861.580,06","2,25","237.861.580,06","1.873.062,00","126,99","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"DIS","WALT DISNEY","Kommunikation","Aktien","218.066.437,50","2,07","218.066.437,50","2.326.042,00","93,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","215.875.618,36","2,04","215.875.618,36","553.726,00","389,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ASML","ASML HOLDING NV","IT","Aktien","182.338.250,84","1,73","182.338.250,84","228.317,00","798,62","Niederlande","Euronext Amsterdam","EUR"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","170.514.877,32","1,61","170.514.877,32","2.380.163,00","71,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Nichtzyklische Konsumgüter","Aktien","136.746.971,82","1,30","136.746.971,82","798.849,00","171,18","Vereinigte Staaten","NASDAQ","USD"
"ADBE","ADOBE INC","IT","Aktien","132.329.928,00","1,25","132.329.928,00","253.360,00","522,30","Vereinigte Staaten","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","105.764.588,70","1,00","105.764.588,70","520.239,00","203,30","Vereinigte Staaten","NASDAQ","USD"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","105.696.742,59","1,00","105.696.742,59","387.693,00","272,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","105.256.149,78","1,00","105.256.149,78","311.981,00","337,38","Vereinigte Staaten","NASDAQ","USD"
"INTU","INTUIT INC","IT","Aktien","103.025.542,68","0,98","103.025.542,68","159.732,00","644,99","Vereinigte Staaten","NASDAQ","USD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","97.489.025,55","0,92","97.489.025,55","186.165,00","523,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","90.910.319,52","0,86","90.910.319,52","473.097,00","192,16","Vereinigte Staaten","NASDAQ","USD"
"AXP","AMERICAN EXPRESS","Financials","Aktien","90.053.279,17","0,85","90.053.279,17","334.783,00","268,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Aktien","88.305.180,44","0,84","88.305.180,44","340.631,00","259,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","83.221.206,45","0,79","83.221.206,45","318.893,00","260,97","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","82.776.808,14","0,78","82.776.808,14","318.201,00","260,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Aktien","80.447.145,85","0,76","80.447.145,85","86.615,00","928,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","76.980.477,42","0,73","76.980.477,42","18.942,00","4.064,01","Vereinigte Staaten","NASDAQ","USD"
"ELV","ELEVANCE HEALTH INC","Gesundheitsversorgung","Aktien","72.972.336,34","0,69","72.972.336,34","135.169,00","539,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6501","HITACHI LTD","Industrie","Aktien","68.558.745,46","0,65","68.558.745,46","2.696.700,00","25,42","Japan","Tokyo Stock Exchange","JPY"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrie","Aktien","65.796.912,81","0,62","65.796.912,81","238.041,00","276,41","Vereinigte Staaten","NASDAQ","USD"
"TD","TORONTO DOMINION","Financials","Aktien","65.538.064,27","0,62","65.538.064,27","1.016.233,00","64,49","Kanada","Toronto Stock Exchange","CAD"
"CB","CHUBB LTD","Financials","Aktien","65.210.733,64","0,62","65.210.733,64","224.354,00","290,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9433","KDDI CORP","Kommunikation","Aktien","65.117.673,69","0,62","65.117.673,69","1.957.800,00","33,26","Japan","Tokyo Stock Exchange","JPY"
"6758","SONY GROUP CORP","Zyklische Konsumgüter ","Aktien","64.532.495,59","0,61","64.532.495,59","697.400,00","92,53","Japan","Tokyo Stock Exchange","JPY"
"MMC","MARSH & MCLENNAN INC","Financials","Aktien","64.036.791,70","0,61","64.036.791,70","286.454,00","223,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Immobilien","Aktien","63.838.299,98","0,60","63.838.299,98","271.583,00","235,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","60.819.902,16","0,58","60.819.902,16","724.564,00","83,94","Vereinigte Staaten","NASDAQ","USD"
"FI","FISERV INC","Financials","Aktien","60.437.841,24","0,57","60.437.841,24","340.284,00","177,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CI","CIGNA","Gesundheitsversorgung","Aktien","58.838.957,82","0,56","58.838.957,82","165.213,00","356,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OR","LOREAL SA","Nichtzyklische Konsumgüter","Aktien","57.775.208,66","0,55","57.775.208,66","139.943,00","412,85","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LRCX","LAM RESEARCH CORP","IT","Aktien","57.761.158,95","0,55","57.761.158,95","74.705,00","773,19","Vereinigte Staaten","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","54.344.933,30","0,51","54.344.933,30","691.045,00","78,64","Kanada","Toronto Stock Exchange","CAD"
"INTC","INTEL CORPORATION CORP","IT","Aktien","53.123.048,16","0,50","53.123.048,16","2.432.374,00","21,84","Vereinigte Staaten","NASDAQ","USD"
